date,root,close,volume
2021-09-20,ES,4348.25,2711340
2021-09-21,ES,4343.25,1941006
2021-09-22,ES,4384.0,1767853
2021-09-23,ES,4438.0,1447395
2021-09-24,ES,4445.75,1182037
2021-09-27,ES,4433.0,1306188
2021-09-28,ES,4343.5,2307037
2021-09-29,ES,4349.75,1815726
2021-09-30,ES,4297.75,2373423
2021-10-01,ES,4343.75,2269695
2021-10-04,ES,4291.25,2135338
2021-10-05,ES,4334.0,1650217
2021-10-06,ES,4354.0,2202805
2021-10-07,ES,4390.0,1406808
2021-10-08,ES,4382.25,1428160
2021-10-11,ES,4351.0,1245705
2021-10-12,ES,4340.75,1295686
2021-10-13,ES,4355.0,1372482
2021-10-14,ES,4429.0,1264458
2021-10-15,ES,4462.5,1185108
2021-10-18,ES,4477.5,1095216
2021-10-19,ES,4511.25,1018177
2021-10-20,ES,4528.0,1006857
2021-10-21,ES,4541.75,938565
2021-10-22,ES,4536.5,1315668
2021-10-25,ES,4558.0,1031431
2021-10-26,ES,4565.25,1257346
2021-10-27,ES,4544.5,1263181
2021-10-28,ES,4587.5,1195785
2021-10-29,ES,4597.0,1418280
2021-11-01,ES,4605.75,1071118
2021-11-02,ES,4623.5,980833
2021-11-03,ES,4652.25,1074650
2021-11-04,ES,4673.25,1169886
2021-11-05,ES,4690.25,1459142
2021-11-08,ES,4694.0,1000404
2021-11-09,ES,4678.25,1289857
2021-11-10,ES,4642.0,1639098
2021-11-11,ES,4643.0,936857
2021-11-12,ES,4678.25,1155591
2021-11-15,ES,4679.0,1047123
2021-11-16,ES,4696.0,1043587
2021-11-17,ES,4686.25,1056696
2021-11-18,ES,4701.5,1168195
2021-11-19,ES,4694.5,1344893
2021-11-22,ES,4679.75,1685386
2021-11-23,ES,4688.5,1872492
2021-11-24,ES,4699.0,1408571
2021-11-26,ES,4595.75,2068167
2021-11-29,ES,4651.0,2014967
2021-11-30,ES,4566.25,2845560
2021-12-01,ES,4508.5,2670344
2021-12-02,ES,4575.75,2587324
2021-12-03,ES,4537.5,2747667
2021-12-06,ES,4590.0,2031995
2021-12-07,ES,4685.0,1771947
2021-12-08,ES,4699.0,1418355
2021-12-09,ES,4667.0,1593325
2021-12-10,ES,4711.0,1585049
