symbol,date,dividend
QQQ,2021-09-20,0.414
QQQ,2021-12-20,0.491
QQQ,2022-03-21,0.434
QQQ,2022-06-21,0.527
QQQ,2022-09-19,0.519
QQQ,2022-12-19,0.655
QQQ,2023-03-20,0.472
QQQ,2023-06-20,0.504
QQQ,2023-09-18,0.536
QQQ,2023-12-18,0.808
QQQ,2023-12-27,0.216
QQQ,2024-03-18,0.573
QQQ,2024-06-24,0.762
QQQ,2024-09-23,0.677
QQQ,2024-12-23,0.835
QQQ,2025-03-24,0.716
QQQ,2025-06-23,0.591
QQQ,2025-09-22,0.694
QQQ,2025-12-22,0.794
QQQ,2026-03-23,0.733
QQQ,2026-06-22,0.813
SPY,2021-12-17,1.633
SPY,2022-03-18,1.366
SPY,2022-06-17,1.577
SPY,2022-09-16,1.596
SPY,2022-12-16,1.781
SPY,2023-03-17,1.506
SPY,2023-06-16,1.638
SPY,2023-09-15,1.583
SPY,2023-12-15,1.906
SPY,2024-03-15,1.595
SPY,2024-06-21,1.759
SPY,2024-09-20,1.746
SPY,2024-12-20,1.966
SPY,2025-03-21,1.696
SPY,2025-06-20,1.761
SPY,2025-09-19,1.831
SPY,2025-12-19,1.993
SPY,2026-03-20,1.797
SPY,2026-06-18,1.904
SPY,2026-09-18,1.889
